ID,X,Y,OLIVE_VARIETY
103,-5.037276026,37.06188813,Lch
104,-5.367276027,37.54188813,Lch
105,-5.657276026,37.86188813,Lch
106,-5.317276026,36.85188813,Lch
107,-5.367276027,37.56188813,Lch
108,-5.427276027,37.28188813,Lch
109,-4.897276026,37.30188813,Lch
110,-5.577276026,37.64188813,Lch
111,-5.737276027,37.83188813,Lch
112,-6.287276026,37.29188813,Lch
113,-5.057276027,37.68188813,Lch
114,-4.967276027,37.14188813,Lch
115,-5.747276026,36.74188813,Lch
116,-5.147276027,37.51188813,Lch
117,-5.387276026,37.08188813,Lch
118,-5.037276026,37.11188813,Lch
119,-5.577276026,36.82188813,Lch
120,-5.387276026,36.84188813,Lch
121,-5.217276026,38.19188813,Lch
122,-5.577276026,36.76188813,Lch
123,-5.587276026,36.79188813,Lch
124,-5.417276027,37.36188813,Lch
125,-5.317276026,36.53188813,Lch
126,-5.097276027,37.09188813,Lch
127,-5.157276027,36.65188813,Lch
128,-5.687276027,37.68188813,Lch
129,-5.427276027,37.52188813,Lch
130,-5.287276027,38.24188813,Lch
131,-5.397276026,37.36188813,Lch
132,-4.947276026,37.72188813,Lch
133,-5.157276027,37.23188813,Lch
134,-5.457276027,37.13188813,Lch
135,-5.267276026,36.65188813,Lch
136,-5.747276026,36.68188813,Lch
137,-5.217276026,36.85188813,Lch
138,-4.947276026,38.23188813,Lch
139,-5.737276027,37.93188813,Lch
140,-6.067276026,37.42188813,Lch
141,-5.577276026,37.73188813,Lch
142,-5.747276026,36.82188813,Lch
143,-5.937276026,36.83188813,Lch
144,-5.107276027,37.10188813,Lch
145,-5.387276026,37.35188813,Lch
146,-5.337276027,36.51188813,Lch
147,-5.247276027,36.52188813,Lch
148,-6.567276026,37.31188813,Lch
149,-5.797276026,37.96188813,Lch
150,-5.047276026,37.27188813,Lch
151,-5.147276027,37.05188813,Lch
152,-4.367276026,37.61188813,Lch
153,-5.467276027,36.97188813,Lch
154,-4.937276026,36.78188813,Lch
155,-5.117276026,37.19188813,Lch
156,-4.887276027,37.38188813,Lch
157,-6.447276027,37.39188813,Lch
158,-5.597276027,36.91188813,Lch
159,-6.387276026,37.38188813,Lch
160,-5.317276026,36.51188813,Lch
161,-5.157276027,37.22188813,Lch
162,-4.467276027,37.61188813,Lch
163,-5.227276026,36.93188813,Lch
164,-5.637276027,37.89188813,Lch
165,-5.477276026,37.57188813,Lch
166,-4.887276027,37.11188813,Lch
167,-5.167276026,36.84188813,Lch
168,-5.417276027,37.80188813,Lch
169,-6.527276026,37.30188813,Lch
170,-5.357276026,36.82188813,Lch
171,-4.957276026,37.11188813,Lch
172,-5.417276027,37.75188813,Lch
173,-5.077276026,37.20188813,Lch
174,-5.197276027,36.84188813,Lch
175,-5.667276026,36.66188813,Lch
176,-5.157276027,36.90188813,Lch
177,-5.087276026,37.12188813,Lch
178,-5.587276026,37.23188813,Lch
179,-5.407276026,37.58188813,Lch
180,-5.427276027,37.54188813,Lch
181,-5.387276026,36.81188813,Lch
182,-5.757276026,37.18188813,Lch
